sn,source_sch,school_nam,school_cat,school_set,district,sector,cell,village,latitude,longitude,electricit,internet_a,num_studen,num_teache,computers,uuid,connectivi,giga_schoo,2G,3G,4G
24,121306,GS HVP GATAGARA,PUBLIC,12 YBE,RWAMAGANA,KIGABIRO,NYAGASENYI,RUSAVE,-1.951333333,30.43030556,ON GRID,USB_MODEM,255,10,244,16a69cb4-514b-423e-b85d-1d75ed9082c8,3G,G_RWA_00024,3,3,3
25,250707,GS REMERA,PUBLIC,12 YBE,RULINDO,CYINZUZI,MIGENDEZO,GITABAGE,-1.760027778,29.9945,ON GRID,USB_MODEM,263,14,374,b3b2e51b-b754-41c1-aba5-5e1695ff0446,3G,G_RWA_00025,3,3,3
26,521213,GS KARAMA,PUBLIC,12 YBE,GATSIBO,NYAGIHANGA,NYAGITABIRE,NYAMIKAMBA,-1.522888889,30.21869444,ON GRID,USB_MODEM,271,28,243,2d529be9-2d2d-40bb-9da6-bbde7f8cf838,3G,G_RWA_00026,3,3,3
27,331002,GS MUKONO,PUBLIC,12 YBE,GICUMBI,BWISIGE,MUKONO,RWEBISHEKE,-1.56675,30.10919444,ON GRID,USB_MODEM,290,10,225,2ad0ae82-0cd1-4901-9cc6-407a0b489efc,3G,G_RWA_00027,3,2,3
28,521222,GS KIGALI,PUBLIC,12 YBE,NGORORERO,NYANGE,BAMBIRO,NYARUSHUBI,-2.032277778,29.62072222,ON GRID,USB_MODEM,292,20,226,603abda7-626f-4868-b1f5-0b5b02a2ab49,3G,G_RWA_00028,3,3,3
29,350412,GS KIRWA,PUBLIC,12 YBE,GICUMBI,RUTARE,KIGABIRO,KIVURUGA,-1.738944444,30.16088889,ON GRID,USB_MODEM,300,12,249,9401f796-1e54-4618-a039-8051dafb645a,3G,G_RWA_00029,3,3,3
30,521037,GS MUNINI,PUBLIC,12 YBE,NGORORERO,MATYAZO,RWAMIKO,RWAMIKO,-1.788416667,29.63122222,ON GRID,USB_MODEM,302,20,364,d2a48422-ec5f-4efa-9018-cbd30d8b1384,3G,G_RWA_00030,3,3,3
31,521041,GS GASAVE,PUBLIC,12 YBE,NGORORERO,NDARO,BIJYOJYO,GASAVE,-1.991083333,29.60238889,ON GRID,USB_MODEM,302,20,356,18fc221d-1300-4c92-88fe-252855eaf1e5,3G,G_RWA_00031,3,3,3
32,520335,GS MWENDO,PUBLIC,12 YBE,KARONGI,GASHARI,MWENDO,KABAGENI,-2.194305556,29.52841667,ON GRID,USB_MODEM,304,12,394,f016ffce-04f2-45f4-a7f1-ff62ebd87266,3G,G_RWA_00032,3,2,3
33,521223,GS BUGARURA,PUBLIC,12 YBE,GATSIBO,REMERA,RWARENGA,KABUYE,-1.7365,30.33805556,ON GRID,USB_MODEM,306,9,241,404ed8e0-0ed1-48a6-b681-cda49473ce50,3G,G_RWA_00033,3,3,3
34,520336,GS MUHORORO,PUBLIC,12 YBE,NGORORERO,GATUMBA,RUSUMO,MATABA,-1.936583333,29.63166667,ON GRID,USB_MODEM,312,20,280,36fe234e-dfb3-4c5d-91eb-2b8148ad9bff,3G,G_RWA_00034,3,3,3
35,421719,GS NYAMUGARI,PUBLIC,12 YBE,NGOMA,REMERA,NYAMAGANA,NYAKABINGO,-2.108916667,30.55163889,ON GRID,usB_MODEM,329,20,204,be616081-a68a-4a70-afb2-fb5b9dcd6fc9,3G,G_RWA_00035,3,3,3
36,421319,GS NYANGE,PUBLIC,12 YBE,NGOMA,MUGESERA,NYANGE,RUSAVE,-2.112638889,30.37302778,ON GRID,USB_MODEM,332,20,218,cd9ae702-c00f-4f5c-ab9a-f9753d3be8eb,3G,G_RWA_00036,3,3,3
37,350910,GS CYUMBA,PUBLIC,12 YBE,GISAGARA,MUGANZA,CYUMBA,RWIMISAMBI,-2.661444444,29.87441667,ON GRID,USB_MODEM,355,20,274,f28c0e71-4b57-4758-b808-166d6b0a0d8d,3G,G_RWA_00037,3,,3
38,340108,GS NYANGE,PUBLIC,12 YBE,MUSANZE,NYANGE,KABEZA,NTAMIZIRO,-1.458055556,29.62777778,ON GRID,USB_MODEM,375,20,155,cd053f0f-55be-4bed-bf46-6b2c141c5c05,3G,G_RWA_00038,3,3,3
39,331115,GS MUKO,PUBLIC,12 YBE,MUSANZE,MUKO,CYIVUGIZA,SUSA,-1.554111111,29.62316667,ON GRID,USB_MODEM,376,15,260,42444abb-f7ef-417d-a101-89ca794168ba,3G,G_RWA_00039,3,3,3
40,331103,GS KABAYA,PUBLIC,12 YBE,MUSANZE,MUHOZA,KIGOMBE,RUKEREZA,-1.52,29.63275,ON GRID,USB_MODEM,378,20,224,579e31de-8a22-4cc3-9e8a-268ee7c3e28b,3G,G_RWA_00040,3,3,3
41,330438,GS NYARUSANGE,PUBLIC,12 YBE,NYAMASHEKE,KARENGERA,MWEZI,NYARUSANGE,-2.515527778,29.03202778,ON GRID,USB_MODEM,390,20,207,8d1fe5cd-f854-4bad-8dec-48eccab4c5d9,3G,G_RWA_00041,3,3,3
42,130528,GS NYAGASAMBU,PUBLIC,12 YBE,KAYONZA,NYAMIRAMA,MUSUMBA,NYAGASAMBU,-1.96075,30.55313889,ON GRID,USB_MODEM,405,13,320,77461264-0a29-4f17-93b5-c8f0130c5f54,3G,G_RWA_00042,3,3,3
43,251001,GS NYAKANYINYA,PUBLIC,12 YBE,NYAMASHEKE,GIHOMBO,BUTARE,RWATSI,-2.196833333,29.23905556,ON GRID,USB_MODEM,408,14,235,d3959c89-1ef2-4da9-b47a-3c6d9b8eb6a4,3G,G_RWA_00043,3,,3
44,521027,GS NYAMIRAMA,PUBLIC,12 YBE,GATSIBO,GITOKI,NYAMIRAMA,NYAMURAZA,-1.636333333,30.33952778,ON GRID,USB_MODEM,410,12,227,92542464-5279-4928-833d-c1fa314444f8,3G,G_RWA_00044,3,3,3
45,520913,GS GIHINGA,PUBLIC,12 YBE,BUGESERA,SHYARA,RUTARE,RUTARE,-2.271666667,30.00694444,ON GRID,USB_MODEM,444,20,228,fa523339-35ed-4b5d-b4fa-3f28f5256cd0,3G,G_RWA_00045,3,3,3
46,130412,GS MUYUMBU,PUBLIC,12 YBE,RWAMAGANA,MUYUMBU,NYARUKOMBE,GATUZA,-1.977,30.25577778,ON GRID,USB_MODEM,444,20,261,2b0373f5-1583-4736-8ab0-7cdb8f606879,3G,G_RWA_00046,3,3,3
47,130210,GS NYARUSANGE,PUBLIC,12 YBE,RWAMAGANA,MUHAZI,KARITUTU,KARAMBO,-1.933583333,30.45311111,ON GRID,USB_MODEM,455,20,281,4a83996e-b945-4319-b547-ad7eab7694da,3G,G_RWA_00047,3,3,3
48,121505,GS KABARE,PUBLIC,12 YBE,RWAMAGANA,MUHAZI,KABARE,UMUNINI,-1.887972222,30.45138889,ON GRID,USB_MODEM,460,20,233,163506c0-82e1-4bbe-afe5-b77c4f769a18,3G,G_RWA_00048,3,3,3
49,571039,GS KIYONZA,PUBLIC,12 YBE,NYARUGURU,NGOMA,KIYONZA,AKAGANO,-2.7425,29.69777778,ON GRID,USB_MODEM,484,13,382,942bb2ef-bd16-46f9-9c93-f3b19d7dfa3a,3G,G_RWA_00049,3,2,3
50,521252,GS RUGARAMA,PUBLIC,12 YBE,GATSIBO,RUGARAMA,KANYANGESE,RUGARAMA,-1.727972222,30.42183333,ON GRID,USB_MODEM,485,7,276,71602406-b246-4087-a182-062b37ea918d,3G,G_RWA_00050,3,3,3
51,<NA>,GS KATARARA,PUBLIC,12 YBE,BUGESERA,JURU,RWINUME,KINIHIRA,-2.118361111,30.20880556,ON GRID,USB_MODEM,487,6,255,b5eaf241-a626-443d-8aab-e3f929604b8e,3G,G_RWA_00051,3,3,3
52,520317,GS RUTONDE,PUBLIC,12 YBE,BUGESERA,NGERUKA,MURAMA,IKONI,-2.34625,30.1025,ON GRID,USB_MODEM,500,10,279,914c97d8-1366-4a58-8e1c-3c2b923df67a,3G,G_RWA_00052,3,3,3
53,571032,GS MUNINI,PUBLIC,12 YBE,NYARUGURU,MUNINI,NGARURIRA,GISIZI,-2.713694444,29.53930556,ON GRID,USB_MODEM,531,17,234,91a7f3d8-d77a-45c7-be77-00c414bea062,3G,G_RWA_00053,3,3,3
54,571030,GS SEKERA,PUBLIC,12 YBE,NYARUGURU,MUGANZA,UWAKIZA,MUKONGORO,-2.664305556,29.46205556,ON GRID,USB_MODEM,547,10,239,a42d2800-13aa-4529-845d-13e11a99472b,3G,G_RWA_00054,3,,3
55,110205,GS KARAMA,PUBLIC,12 YBE,NYARUGENGE,KIGALI,NYABUGOGO,GAKONI,-1.959888889,30.01355556,ON GRID,USB_MODEM,573,10,261,5f322f84-fcb0-40bd-b0f3-c64cd9b3731e,3G,G_RWA_00055,3,3,3
56,110108,GS KIGALI,PUBLIC,12 YBE,NYARUGENGE,KIGALI,KIGALI,RYASHARANGABO,-1.963416667,30.02925,ON GRID,USB_MODEM,581,12,230,8648b938-831f-4a09-9d4f-eb2f03fcc6ed,3G,G_RWA_00056,3,3,3
57,571021,GS RWAMIKO,PUBLIC,12 YBE,NYARUGURU,MATA,RWAMIKO,RWAMIKO,-2.59675,29.54602778,ON GRID,USB_MODEM,590,17,214,cf7eeaef-d807-4f61-a143-2967010008f9,3G,G_RWA_00057,3,2,3
58,430814,GS VUMBI,PUBLIC,12 YBE,RUTSIRO,MUSHONYI,KAGURIRO,MUBUGA,-1.867416667,29.30213889,ON GRID,USB_MODEM,598,10,235,030df3ff-4a36-43a0-943a-12d2eaa8044b,3G,G_RWA_00058,3,3,3
59,311114,GS MURAMBI II,PUBLIC,12 YBE,GAKENKE,RUSASA,MURAMBI,KIREHE,-1.651472222,29.64772222,ON GRID,USB_MODEM,599,14,245,0b7a203d-a25f-484d-bb8c-6dcfd8295b74,3G,G_RWA_00059,3,3,3
60,280702,GS KAGEYO,PUBLIC,12 YBE,GAKENKE,KIVURUGA,GASIZA,NTURO,-1.598416667,29.73455556,ON GRID,USB_MODEM,599,22,452,487def27-c64d-4f59-b330-e87a12875b89,3G,G_RWA_00060,3,2,3
61,440504,GS GAKORO,PUBLIC,12 YBE,NYABIHU,RUGERA,GAKORO,NYAKIGEZI,-1.627722222,29.63277778,ON GRID,USB_MODEM,621,8,385,cc264ec8-dcfa-41dc-a7d0-ed1cc1de73dd,3G,G_RWA_00061,3,3,3
62,270852,GS RUHANGA,PUBLIC,12 YBE,GAKENKE,BUSENGO,RUHANGA,KABUGIRI,-1.644138889,29.70897222,ON GRID,USB_MODEM,623,14,243,2eb2c83a-57a1-4d8c-897e-7cd8635db10a,3G,G_RWA_00062,3,2,3
63,521034,GS NYARUBUYE,PUBLIC,12 YBE,GATSIBO,KAGEYO,BUSETSA,NYARUBUYE,-1.619555556,30.29025,ON GRID,USB_MODEM,626,14,235,4bd05a72-0dc7-46bd-a6da-4cb2e676c066,3G,G_RWA_00063,3,,3
64,561101,GS MUNYINYA,PUBLIC,12 YBE,MUHANGA,SHYOGWE,RULI,MUNYINYA,-2.069888889,29.79263889,ON GRID,USB_MODEM,652,12,191,86adf7da-5a21-4151-82a4-1cd1c95a8ee3,3G,G_RWA_00064,3,3,3
65,531011,GS TABAGWE,PUBLIC,12 YBE,NYAGATARE,TABAGWE,TABAGWE,TABAGWE,-1.285361111,30.20780556,ON GRID,USB_MODEM,966,15,249,bd679b44-e610-4b23-a63e-74e5ed842d70,3G,G_RWA_00065,3,3,
66,280114,GS MURAMBA,PUBLIC,12 YBE,GAKENKE,CYABINGO,MURAMBA,GATARE,-1.584444444,29.6835,ON GRID,USB_MODEM,1032,26,390,0212a147-35ff-44ae-b2d2-23ff7176d18e,3G,G_RWA_00066,3,3,3
67,270832,GS MUTARA,PUBLIC,12 YBE,RULINDO,RUKOZO,BURARO,RUKINGU,-1.652222222,29.95416667,ON GRID,USB_MODEM,1044,20,234,00025ef0-adda-46cc-99d2-f101029a9253,3G,G_RWA_00067,3,3,3
68,530220,GS KABARE II,PUBLIC,12 YBE,NYAGATARE,KIYOMBE,KARUJUMBA,KABARE,-1.4395,30.1425,ON GRID,USB_MODEM,1050,30,255,5000af74-5810-4d56-8bc5-f8deb388503a,3G,G_RWA_00068,3,3,
69,530417,GS NYAMIYONGA,PUBLIC,12 YBE,NYAGATARE,MUSHERI,NYAMIYONGA,NYAMIYONGA,-1.087333333,30.36502778,ON GRID,USB_MODEM,1068,18,247,1003d7e9-90be-491c-9c93-6ce0a5fc0fc8,3G,G_RWA_00069,3,,
70,520905,GS NYARUBUYE,PUBLIC,12 YBE,KARONGI,RUBENGERA,GACACA,NYARUBUYE,-2.057444444,29.42708333,ON GRID,USB_MODEM,1239,20,791,42e80893-9627-4e01-acc2-ad5b4e830979,3G,G_RWA_00070,3,3,3
71,130501,GS NYAWERA,PUBLIC,12 YBE,KAYONZA,MWILI,NYAWERA,RYAKIBANDA,-1.883916667,30.55436111,ON GRID,USB_MODEM,2039,34,370,133bc599-be4e-40cd-bee0-b1ada8d61eb7,3G,G_RWA_00071,3,3,3
72,560906,GS NYAMUGARI,GOVERNMENT_AIDED,12YBE,NGOMA,REMERA,NYAMAGANA,NYAKABINGO,-2.108916667,30.55163889,ON GRID,FIBER OPTIC,1611,41,269,2006fe12-0f17-4fdf-a441-1f8347404fef,fibre,G_RWA_00072,3,3,3
73,560409,GS GAHURIRE,PUBLIC,12YBE,NGOMA,KAZO,KARAMA,MPANDU,-2.190916667,30.53086111,ON GRID,FIBER OPTIC,2107,42,745,797a8ea0-92ae-4f26-a122-e7dd0b869493,fibre,G_RWA_00073,3,3,3
74,270910,GS GIKOMERO,GOVERNMENT_AIDED,12YBE,MUHANGA,NYARUSANGE,MBIRIRI,KAREHE,-2.05833,29.67594,ON GRID,FOUR_G,263,12,271,f50c7201-2294-45cf-b1b8-20909b629d6b,4G,G_RWA_00074,3,3,3
75,430310,GS GAKORO,GOVERNMENT_AIDED,12YBE,MUSANZE,GACACA,GAKORO,GAHAMA,-1.48817,29.704,ON GRID,FOUR_G,314,21,246,17af0280-1149-481a-ad14-7d41fa1bd909,4G,G_RWA_00075,3,2,3
76,110314,GS KARAMA,PUBLIC,12YBE,NYARUGENGE,KIGALI,NYABUGOGO,GAKONI,-1.95989,30.01356,ON GRID,FOUR_G,341,16,554,6980f304-b070-4c9c-85eb-7cb2c28184ae,4G,G_RWA_00076,3,3,3
77,550701,GS MUSHONGI,PUBLIC,12YBE,KIREHE,MPANGA,MUSHONGI,NGUGU I,-2.05853,30.81558,ON GRID,FOUR_G,349,14,226,4d858031-9a5b-4c0c-a08e-5d4740e18c03,4G,G_RWA_00077,3,2,3
78,271011,NYAMIYAGA,PUBLIC,12YBE,MUHANGA,RONGI,GASHARU,NYAMIYAGA,-1.78681,29.74844,ON GRID,FOUR_G,352,20,247,f54a646e-7d08-4028-8b98-3ad72967665b,4G,G_RWA_00078,3,3,
79,570106,KAGASA,PUBLIC,12YBE,BUGESERA,GASHORA,RAMIRO,KAGASA I,-2.26889,30.21414,ON GRID,FOUR_G,415,15,268,bc020b03-ea3a-4b3f-a9c9-d2bfdaa3f1e6,4G,G_RWA_00079,3,3,3
80,550707,GS NYAWERA,PUBLIC,12YBE,KIREHE,MPANGA,NASHO,NYAWERA II,-2.087,30.88944,ON GRID,FOUR_G,503,16,246,8b61d879-f3e1-436a-8252-bcbddd083cee,4G,G_RWA_00080,3,,
81,531206,GS Nyagasozi,GOVERNMENT_AIDED,12YBE,GATSIBO,REMERA,NYAGAKOMBE,AKABABITO,-1.7052777,30.3290277,ON GRID,FOUR_G,532,13,272,99651c4a-7c03-46f2-b2d4-a4969ffce9d7,4G,G_RWA_00081,3,3,3
82,571304,Munazi,PUBLIC,12YBE,BUGESERA,RUHUHA,KINDAMA,KAGASERA,-2.317944444,30.07772222,ON GRID,FOUR_G,738,13,236,2474972e-7db9-4f6a-814d-e1ee0a5a3689,4G,G_RWA_00082,3,3,3
83,410803,GS MURAMA,PUBLIC,12YBE,RULINDO,KISARO,MURAMA,MUGOMERO,-1.630111111,30.03413889,OFF GRID,FOUR_G,823,17,325,92876cdb-cfea-425f-bcb4-459e0b7779bf,4G,G_RWA_00083,3,3,3
84,371319,GS MPABE,GOVERNMENT_AIDED,12YBE,NYAMASHEKE,RANGIRO,JURWE,GATAGARA,-2.38989,29.13856,ON GRID,FOUR_G,850,17,228,4a8fbcb3-bd76-4d7c-87b3-636fc5a4ba2a,4G,G_RWA_00084,3,3,
85,550902,GS KARAMBI,PUBLIC,12YBE,KIREHE,MUSHIKIRI,RUGARAMA,KARAMBI,-2.17789,30.66397,ON GRID,FOUR_G,933,20,225,4bd19ca5-1636-4b32-8718-1005ed7d4712,4G,G_RWA_00085,3,2,3
86,551003,GS RUGOMA,PUBLIC,12YBE,KIREHE,NASHO,RUGOMA,KABIGEMBE,-2.105,30.69064,ON GRID,FOUR_G,967,61,751,e8f205f5-3980-4ef9-b589-04aa50039f93,4G,G_RWA_00086,3,3,3
87,230904,GS KIBANGU,GOVERNMENT_AIDED,12YBE,NYARUGURU,NGOMA,KIBANGU,KIREHE,-2.73697,29.65547,ON GRID,FOUR_G,1030,17,224,1ccd2add-1fba-4311-9c7c-adf01e3e822a,4G,G_RWA_00087,3,,3
88,550204,GS GATORE,GOVERNMENT_AIDED,12YBE,KIREHE,GATORE,NYAMIRYANGO,GASHANGA,-2.27736,30.58517,ON GRID,FOUR_G,1037,64,204,9065d6fb-1d6f-48b7-be4b-323983a62ce2,4G,G_RWA_00088,3,3,3
89,241402,CYARWA,GOVERNMENT_AIDED,12YBE,HUYE,TUMBA,CYIMANA,UBWIYUNGE,-2.629861111,29.75616667,ON GRID,FOUR_G,1056,28,435,48aaa8c9-c246-470e-b9e9-010506326f2b,4G,G_RWA_00089,3,3,3
90,530215,GS NYABIHEKE,PUBLIC,12YBE,GATSIBO,GATSIBO,NYABICWAMBA,RYEBARE,-1.58275,30.26792,ON GRID,FOUR_G,1135,18,301,1c8fd8df-c531-4dd3-95c3-21311294cc3b,4G,G_RWA_00090,3,3,3
91,431009,GS TERO,GOVERNMENT_AIDED,12YBE,MUSANZE,MUSANZE,NYARUBUYE,BANNYISUKA,-1.47567,29.56164,ON GRID,FOUR_G,1150,28,407,a4d4a7c3-fe89-4db4-87eb-b7a7c654890c,4G,G_RWA_00091,3,3,3
92,550903,GS MUSHIKIRI,PUBLIC,12YBE,KIREHE,MUSHIKIRI,RWAYIKONA,ISANGANO,-2.17208,30.69672,ON GRID,FOUR_G,1236,28,245,77f1be73-9094-4f94-9978-07f0e5a35887,4G,G_RWA_00092,3,3,3
93,120805,GS RUGANDO,PUBLIC,12YBE,GASABO,KIMIHURURA,RUGANDO,REBERO,-1.95731,30.09303,ON GRID,FOUR_G,1244,37,255,936e1f8c-fb76-4440-a664-03f1759e4edd,4G,G_RWA_00093,3,3,3
94,110811,GS AKUMUNIGO,PUBLIC,12YBE,NYARUGENGE,NYAMIRAMBO,RUGARAMA,RUGARAMA,-1.991861111,30.04180556,ON GRID,FOUR_G,1245,28,405,6bc8b99c-749f-4ff2-a115-e5d03323952b,4G,G_RWA_00094,3,3,3
95,531401,GS MUNINI,PUBLIC,12YBE,GATSIBO,RWIMBOGO,MUNINI,MUNINI,-1.60192,30.51772,ON GRID,FOUR_G,1261,28,155,6119fddc-ce17-4555-a811-ad07250c4f43,4G,G_RWA_00095,3,1,
96,451908,NYARURAMA,PUBLIC,12YBE,GICUMBI,RUVUNE,GASHIRIRA,RUGERERO,-1.60447,30.168,ON GRID,FOUR_G,1292,31,730,6f29c37b-a757-43ce-9d43-18345fe828d5,4G,G_RWA_00096,3,3,3
