sn,source_sch,school_nam,school_cat,school_set,district,sector,cell,village,latitude,longitude,electricit,internet_a,num_studen,num_teache,computers,uuid,connectivi,giga_schoo,2G,3G,4G
622,530311,EM LIGHT,PUBLIC,"PRE_PRIMARY,PRIMARY",NYAGATARE,MATIMBA,NYABWISHOGWEZI,NYABWISHONGWE I,-1.102694444,30.42147222,ON GRID,USB_MODEM,49,2,157,fb0e6137-647d-47d2-94a7-e981aa4b15d2,3G,G_RWA_00622,3,3,3
623,120521,EP NTUNGAMO,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,NTONGWE,KAYENZI,NTUNGAMO,-2.18775,29.85522222,ON GRID,USB_MODEM,50,2,169,fc964228-db57-45a3-a2f3-be0c4f6d24c9,3G,G_RWA_00623,3,3,
624,120701,EM HOPE,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,RUHANGO,MUSAMO,RYANYIRANDA,-2.244527778,29.82127778,ON GRID,USB_MODEM,51,3,282,78038182-ba9a-4e8d-8fb6-e8e0e541978e,3G,G_RWA_00624,3,3,3
625,541254,EM MARANATHA,PUBLIC,"PRE_PRIMARY,PRIMARY",MUHANGA,NYAMABUYE,REMERA,GASHARU,-2.070972222,29.73608333,ON GRID,USB_MODEM,54,2,167,69035d1c-29ae-4851-ade8-fd41a1a25948,3G,G_RWA_00625,3,3,3
626,130221,EM INDATWA,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,MUNYIGINYA,CYIMBAZI,NTUNGA,-1.942666667,30.35719444,ON GRID,USB_MODEM,54,3,156,da7728f2-2194-41c9-9592-06fc73f94d7c,3G,G_RWA_00626,3,2,3
627,130506,EM UTUNYANGE,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,MWULIRE,BICUMBI,BICUMBI,-1.991777778,30.36058333,ON GRID,USB_MODEM,54,3,311,c4a225f4-78b5-4ced-b3fb-93a0aa9928c7,3G,G_RWA_00627,3,3,3
628,131027,EM EJOHEZA,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,RUBONA,KABUYE,RUBUMBA,-2.00525,30.38988889,ON GRID,USB_MODEM,54,3,101,671c282d-c73e-415d-a2c1-af18611e5bf1,3G,G_RWA_00628,3,3,3
629,230303,EP MUHORORO,PUBLIC,"PRE_PRIMARY,PRIMARY",HUYE,RUHASHYA,MUHORORO,NYAKABINGO,-2.514361111,29.76941667,ON GRID,USB_MODEM,54,4,147,5e653a5a-0e06-4c7a-8ac9-9e028b79dac0,3G,G_RWA_00629,3,2,3
630,120425,EM MUHORORO,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,BYIMANA,MUHORORO,MBUYE,-2.139555556,29.75583333,ON GRID,USB_MODEM,55,2,139,d59b92e5-fb63-419d-9fdb-fe62f16006f7,3G,G_RWA_00630,3,3,3
631,310116,EP GIKO,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,MUZO,RWA,KABERE,-1.696694444,29.70080556,ON GRID,USB_MODEM,56,2,105,297bb407-c56b-45d1-a787-ca45b9c8cfce,3G,G_RWA_00631,3,3,3
632,550410,EM EJOHEZA,PUBLIC,"PRE_PRIMARY,PRIMARY",MUHANGA,NYAMABUYE,REMERA,GASHARU,-2.071861111,29.7375,ON GRID,USB_MODEM,56,2,158,e2910a8f-90a4-4518-9afa-9d761bd7be70,3G,G_RWA_00632,3,3,3
633,120126,EM KIGABIRO,PUBLIC,"PRE_PRIMARY,PRIMARY",KICUKIRO,NIBOYE,NIBOYE,KIGABIRO,-1.969416667,30.10794444,ON GRID,USB_MODEM,56,3,131,ef593080-d8be-42d0-8a43-b3d46e1dd1aa,3G,G_RWA_00633,3,3,3
634,120435,EM LIGHT,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,GISHALI,CYINYANA,NYAGACYAMU,-1.921833333,30.40180556,ON GRID,USB_MODEM,57,2,168,7032ec64-7304-4389-840b-af36cf08eddf,3G,G_RWA_00634,3,3,3
635,130139,EM TUBARERE,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,MUHAZI,KABARE,UBWIZA,-1.8925,30.45222222,ON GRID,USB_MODEM,57,2,140,f2492830-a377-4511-8f66-1fcd5ac2ca59,3G,G_RWA_00635,3,3,3
636,131021,EM AMIZERO,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,RUBONA,KABATASI,KIBOHA,-2.052638889,30.38855556,ON GRID,USB_MODEM,58,2,147,c1a99d56-51be-490b-aaf5-116d1c352016,3G,G_RWA_00636,3,3,3
637,120928,EP NKOMERO,PUBLIC,"PRE_PRIMARY,PRIMARY",NYAMAGABE,KADUHA,NYAMIYAGA,NKOMERO,-2.357444444,29.49077778,ON GRID,USB_MODEM,58,10,113,a8095d25-d8ca-4840-9712-0a8334b1d137,3G,G_RWA_00637,3,3,3
638,120422,EP MAHEMBE,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,BYIMANA,MAHEMBE,NYAGISOZI,-2.174333333,29.75508333,ON GRID,USB_MODEM,59,2,287,f4e28d0a-04c1-46c4-81ff-fea766aecd6a,3G,G_RWA_00638,3,3,3
639,120611,EP NYAKABINGO,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,NTONGWE,NYAKABUNGO,KIGABIRO,-2.218055556,29.88363889,ON GRID,USB_MODEM,59,2,142,86f84a79-b070-43a0-a519-946fe4c936d3,3G,G_RWA_00639,3,3,3
640,120452,EP KABUGA,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,KINIHIRA,NYAKOGO,BWERAMANA,-2.216861111,29.66338889,ON GRID,USB_MODEM,60,2,113,4031db63-4e41-4d1b-a8f6-90ff719d63fd,3G,G_RWA_00640,3,3,3
641,510502,EP RWESERO,PUBLIC,"PRE_PRIMARY,PRIMARY",KIREHE,KIREHE,RWESERO,GAHAMA,-2.252777778,30.61611111,ON GRID,USB_MODEM,60,2,122,2a79989e-3ff2-42d1-bc03-51b25c93fc7f,3G,G_RWA_00641,3,3,3
642,121035,EP KIRWA,PUBLIC,"PRE_PRIMARY,PRIMARY",NYAMAGABE,TARE,BUHORO,KIRWA,-2.524638889,29.54313889,ON GRID,USB_MODEM,62,2,213,2ded8da7-024d-4222-9887-9c7048ccc022,3G,G_RWA_00642,3,3,3
643,131028,EP LE PIGEONNIER,PUBLIC,"PRE_PRIMARY,PRIMARY",HUYE,NGOMA,BUTARE,AKABUYE,-2.594361111,29.75394444,ON GRID,USB_MODEM,64,2,128,1303018c-0e77-4c6b-8705-34fd06c706f2,3G,G_RWA_00643,3,3,3
644,130526,EM ITETERO,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,MWULIRE,MWULIRE,GISANZA,-1.974111111,30.40938889,ON GRID,USB_MODEM,65,3,218,16a25582-0547-4455-b639-67099a0d9164,3G,G_RWA_00644,3,3,3
645,120447,EM KAVUMU,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,GISHALI,KAVUMU,AKABUGA,-1.869583333,30.40708333,ON GRID,USB_MODEM,65,5,114,a914f6d7-453a-49f7-8ea3-db5a99bb17c3,3G,G_RWA_00645,3,3,3
646,120442,EP KANYINYA,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,KABAGALI,RWOGA,KANYINYA,-2.214305556,29.63966667,ON GRID,USB_MODEM,66,3,287,a69b7a0f-4721-4a7b-9c08-000844dde407,3G,G_RWA_00646,3,3,3
647,540434,EM MURAMBI,PUBLIC,"PRE_PRIMARY,PRIMARY",MUHANGA,MUHANGA,REMERA,MUHANGA,-1.992666667,29.73208333,ON GRID,USB_MODEM,67,2,168,cd031fd6-eec0-436c-9d66-6d2b8824de36,3G,G_RWA_00647,3,3,3
648,120445,EM IDEMBE,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,GISHALI,CYINYANA,NYAGACYAMU,-1.923472222,30.40177778,ON GRID,USB_MODEM,67,3,256,665ad4a7-7d91-4fae-9a74-961b465ea253,3G,G_RWA_00648,3,3,3
649,281009,EP MUNINI,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,MATABA,GIKOMBE,MUNINI,-1.740805556,29.72302778,ON GRID,USB_MODEM,67,4,130,0ea3a976-2b09-459f-8036-f9fae68a64a1,3G,G_RWA_00649,3,,
650,120615,EM BWIZA,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,KIGABIRO,BWIZA,,-1.980527778,30.44744444,ON GRID,USB_MODEM,67,4,254,3ca299c9-7047-4168-b24d-665e487d6845,3G,G_RWA_00650,3,3,3
651,521111,EM MURAMA,PUBLIC,"PRE_PRIMARY,PRIMARY",GATSIBO,NGARAMA,NYARUBUNGO,MURAMA,-1.5375,30.25780556,ON GRID,USB_MODEM,69,2,115,969b7ba8-1137-408f-89aa-2a3472840131,3G,G_RWA_00651,3,3,3
652,110827,EM PEEK A BOO,PUBLIC,"PRE_PRIMARY,PRIMARY",GASABO,KIMIHURURA,RUGANDO,REBERO,-1.956222222,30.0925,ON GRID,USB_MODEM,72,2,168,4d47e0c9-db10-4e03-b6ee-757077e8f5ed,3G,G_RWA_00652,3,3,3
653,130711,EP KADUHA,PUBLIC,"PRE_PRIMARY,PRIMARY",HUYE,GISHAMVU,RYAKIBOGO,KADUHA,-2.610777778,29.68983333,ON GRID,USB_MODEM,72,2,128,0307e570-61a9-4529-9a5e-04081d8b6d29,3G,G_RWA_00653,3,3,3
654,121129,EM INKURUNZIZA,PUBLIC,"PRE_PRIMARY,PRIMARY",RUSIZI,GIHUNDWE,BURANGA,KAMABUYE,-2.452444444,28.91666667,ON GRID,USB_MODEM,73,3,199,adb50d08-4554-446a-a477-c206a5246127,3G,G_RWA_00654,3,3,3
655,130913,EP BUREMERA,PUBLIC,"PRE_PRIMARY,PRIMARY",HUYE,MARABA,BUREMERA,BUREMERA,-2.548027778,29.61283333,ON GRID,USB_MODEM,74,6,229,f624a58f-9f21-4cde-ba3d-4919b427a18d,3G,G_RWA_00655,3,2,3
656,110826,EM PEEK A BOO,PUBLIC,"PRE_PRIMARY,PRIMARY",GASABO,KIMIHURURA,RUGANDO,GASASA,-1.961777778,30.0945,ON GRID,USB_MODEM,76,3,139,d6891f8e-aa72-4a01-8cbb-443be54b1d92,3G,G_RWA_00656,3,3,3
657,410702,EP GITOVU,PUBLIC,"PRE_PRIMARY,PRIMARY",NYANZA,BUSORO,KIMIRAMA,KIMIRAMA,-2.251027778,29.92558333,ON GRID,USB_MODEM,77,3,165,4ff133e5-cc80-4b11-a93e-4f16d0aa3359,3G,G_RWA_00657,3,3,3
658,130817,EM IMANZI,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,RUBONA,KABATASI,RUSENYI,-2.037527778,30.39433333,ON GRID,USB_MODEM,78,3,154,6b963671-ddcc-4c17-9bb1-ff38f3306a13,3G,G_RWA_00658,3,3,3
659,330401,EP NGANGE,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,RUSHASHI,JOMA,NYAGASOZI,-1.723111111,29.85263889,ON GRID,USB_MODEM,79,1,131,a795e618-1810-4193-bc4e-af5761f13d9e,3G,G_RWA_00659,3,2,3
660,510313,EP BUTEZI,PUBLIC,"PRE_PRIMARY,PRIMARY",KIREHE,GAHARA,BUTEZI,UMUBANO I,-2.391194444,30.54275,ON GRID,USB_MODEM,80,2,146,5eddc0e0-4236-4623-b6f5-5df924e16bd1,3G,G_RWA_00660,3,,3
661,520911,EM RUBIRA,PUBLIC,"PRE_PRIMARY,PRIMARY",BUGESERA,RWERU,BATIMA,RUBIRA,-2.306805556,30.25836111,ON GRID,USB_MODEM,87,2,191,0762892a-c986-4f76-b319-f865f4fffb59,3G,G_RWA_00661,3,2,3
662,121207,EP MUBUGA,PUBLIC,"PRE_PRIMARY,PRIMARY",RUSIZI,GIKUNDAMVURA,MPINGA,MUBUGA,-2.601194444,29.05377778,ON GRID,USB_MODEM,87,3,123,b58e5f29-51a2-4168-97ba-08ba63c3bad4,3G,G_RWA_00662,3,3,3
663,220802,EM RUBIRIZI,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,RUBONA,MABARE,RUBIRIZI,-2.071055556,30.41841667,ON GRID,USB_MODEM,87,3,99,0fe74956-7aa9-4837-b6f0-7ad749d8320a,3G,G_RWA_00663,3,3,3
664,260204,EP KIGALI,PUBLIC,"PRE_PRIMARY,PRIMARY",RULINDO,KINIHIRA,MAREMBO,CYOGO,-1.66625,29.93511111,ON GRID,USB_MODEM,87,6,167,234b4f26-cc93-4961-bbd2-f880b714f7e4,3G,G_RWA_00664,3,2,3
665,131024,EM AMIZERO,PUBLIC,"PRE_PRIMARY,PRIMARY",RWAMAGANA,RUBONA,KABUYE,RUTARE,-2.009305556,30.39308333,ON GRID,USB_MODEM,89,4,108,d72420c1-eb54-4679-8389-5c87bc7f69c2,3G,G_RWA_00665,3,3,3
666,331104,EM CEAPS,PUBLIC,"PRE_PRIMARY,PRIMARY",MUSANZE,MUHOZA,MPENGE,GIKWENGE,-1.507083333,29.64022222,ON GRID,USB_MODEM,89,4,172,d2eef2fc-69ef-4576-ba91-757a14b662e4,3G,G_RWA_00666,3,3,3
667,280113,EM MUHORORO,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,CYABINGO,MUHORORO,KABUNGWE,-1.575527778,29.70075,ON GRID,USB_MODEM,90,2,148,680b23ab-88ed-4d30-8cf0-a6a48c267d02,3G,G_RWA_00667,3,3,3
668,280314,EP NYENYERI,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,GASHENYI,NYACYINA,RUHORE,-1.651527778,29.85833333,ON GRID,USB_MODEM,90,7,134,22b8171d-5b83-4fff-9e6e-238d8e0f31f4,3G,G_RWA_00668,3,,3
669,280313,EP KARUGANDA,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,GAKENKE,NGANZO,KARUGANDA,-1.692305556,29.76105556,ON GRID,USB_MODEM,94,3,205,914f2546-8cae-4927-8f44-5963c039aae3,3G,G_RWA_00669,2,2,3
670,311035,EP RUSASA,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,RUSASA,KAMONYI,RURAMBI,-1.639666667,29.66425,ON GRID,USB_MODEM,94,4,155,7f6321f1-c646-4724-b2d7-0b858ce3f605,3G,G_RWA_00670,3,3,3
671,110922,EM BLESSING,PUBLIC,"PRE_PRIMARY,PRIMARY",GASABO,RUSORORO,GASAGARA,RUGAGI,-1.933,30.23291667,ON GRID,USB_MODEM,100,1,166,f8a34ba4-613f-4682-8117-a212f9f397b5,3G,G_RWA_00671,3,3,3
672,520307,EP GASURA,PUBLIC,"PRE_PRIMARY,PRIMARY",KARONGI,BWISHYURA,GASURA,GAFURUGUTO,-2.076583333,29.33172222,ON GRID,USB_MODEM,101,5,126,2b2f90c5-9d2d-45c0-aaf3-d463c6775054,3G,G_RWA_00672,3,2,3
673,120443,EP LA FRATERNITE,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,KINAZI,BURIMA,MIRAMBI,-2.195194444,29.90630556,ON GRID,USB_MODEM,102,3,100,d33d5fa2-d713-40b9-af25-ff8157272e51,3G,G_RWA_00673,3,3,3
674,240920,EP CYARWA,PUBLIC,"PRE_PRIMARY,PRIMARY",HUYE,TUMBA,CYARWA,TABA,-2.626305556,29.75572222,ON GRID,USB_MODEM,103,1,242,c557d172-d355-4cd5-bc8a-57665f2b5746,3G,G_RWA_00674,3,3,3
675,120125,EP ST JOSEPH,PUBLIC,"PRE_PRIMARY,PRIMARY",KICUKIRO,NIBOYE,GATARE,RUGUNGA,-1.981472222,30.11813889,ON GRID,USB_MODEM,104,3,149,71045fdf-a757-4190-bc19-c4a8c97989b2,3G,G_RWA_00675,3,3,3
676,420614,EP NKOMERO,PUBLIC,"PRE_PRIMARY,PRIMARY",NYANZA,MUKINGO,NKOMERO,KABALIMA,-2.271222222,29.70141667,ON GRID,USB_MODEM,108,5,227,251f2c80-30c5-4344-b89a-d3d256f875f9,3G,G_RWA_00676,3,3,3
677,121211,EP RUGARAGARA,PUBLIC,"PRE_PRIMARY,PRIMARY",RUSIZI,NKANKA,KINYAGA,RUGARAGARA,-2.406416667,28.94466667,ON GRID,USB_MODEM,109,3,145,4adae6a5-fbbd-49bc-8f52-9ac0c92e83b7,3G,G_RWA_00677,3,3,3
678,110415,EM URUMURI,PUBLIC,"PRE_PRIMARY,PRIMARY",GASABO,BUMBOGO,NGARA,GISASA,-1.898555556,30.12169444,ON GRID,USB_MODEM,110,4,124,b8279270-a46a-44c7-ad44-540ec89dc956,3G,G_RWA_00678,3,3,3
679,110825,EM LIGHT,PUBLIC,"PRE_PRIMARY,PRIMARY",GASABO,KACYIRU,KAMUTWA,KIGUGU,-1.939444444,30.07202778,ON GRID,USB_MODEM,114,2,248,888cd090-7659-4085-8e3c-bc339b55a5bb,3G,G_RWA_00679,3,3,3
680,110831,EP LA FRATERNITE,PUBLIC,"PRE_PRIMARY,PRIMARY",GASABO,NDERA,CYARUZINGE,AYABAKORA,-1.961388889,30.18788889,ON GRID,USB_MODEM,120,5,137,58af9f74-2aaa-4976-8f11-9dbd2ed543f3,3G,G_RWA_00680,3,3,3
681,350704,EM KIGABIRO,PUBLIC,"PRE_PRIMARY,PRIMARY",GICUMBI,RUTARE,KIGABIRO,NYAKAVUNGA,-1.744611111,30.15325,ON GRID,USB_MODEM,121,6,142,20fb0879-614f-4e28-a39a-34ec1f81e98e,3G,G_RWA_00681,3,3,3
682,111009,EM MURAMBI,PUBLIC,"PRE_PRIMARY,PRIMARY",KICUKIRO,GATENGA,KARAMBO,IHURIRO,-1.981166667,30.09147222,ON GRID,USB_MODEM,126,6,102,01adf74a-c1a2-47dc-b799-765af992d46b,3G,G_RWA_00682,3,3,3
683,130726,EP MBOGO,PUBLIC,"PRE_PRIMARY,PRIMARY",HUYE,KIGOMA,KABATWA,MBOGO,-2.45925,29.66233333,ON GRID,USB_MODEM,130,5,241,b55f9241-80f9-497d-bf6c-339b9037d28b,3G,G_RWA_00683,3,3,3
684,451303,EP SHYIRA,PUBLIC,"PRE_PRIMARY,PRIMARY",NYABIHU,SHYIRA,CYIMANZOVU,MUGWATO,-1.686527778,29.62891667,ON GRID,USB_MODEM,132,3,157,735fa8bf-d16f-4117-84fc-f7ff6eb5e8e4,3G,G_RWA_00684,3,3,3
685,521108,EM GITWA,PUBLIC,"PRE_PRIMARY,PRIMARY",KARONGI,RUGABANO,GISIZA,GITWA,-2.109055556,29.49352778,ON GRID,USB_MODEM,134,6,152,dde9f780-e6d5-4167-8fae-2bebc32ee8c7,3G,G_RWA_00685,3,1,3
686,521038,EP NYAGISOZI,PUBLIC,"PRE_PRIMARY,PRIMARY",GATSIBO,KAGEYO,NYAGISOZI,NYAGISOZI,-1.66475,30.26797222,ON GRID,USB_MODEM,134,6,144,ae339d64-4d4f-46f5-99e0-c3aac45eab8a,3G,G_RWA_00686,3,3,3
687,121045,EM INKURUNZIZA,PUBLIC,"PRE_PRIMARY,PRIMARY",RUSIZI,BUGARAMA,PERA,PERA,-2.702083333,29.02213889,ON GRID,USB_MODEM,146,3,216,f74ebd14-7b40-44b6-b0b2-4f3ac924040d,3G,G_RWA_00687,3,3,3
688,340210,EP RUSASA,PUBLIC,"PRE_PRIMARY,PRIMARY",GICUMBI,NYANKENKE,RUSASA,RUHOHO,-1.614833333,29.99452778,ON GRID,USB_MODEM,146,8,118,9f1477f9-548c-4af0-a13d-105aba7c97d1,3G,G_RWA_00688,3,3,3
689,281118,EP MUGERA,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,MUYONGWE,KARYANGO,MAHAHA,-1.698944444,29.87666667,ON GRID,USB_MODEM,151,3,167,c96aa637-d879-43b7-a69e-a73cc98f8fff,3G,G_RWA_00689,2,2,
690,120428,EM TUBARERE,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,BYIMANA,MUHORORO,BUKOMERO,-2.144166667,29.74355556,ON GRID,USB_MODEM,152,4,137,06d15c03-e3e2-46e7-94a0-63937e872b1c,3G,G_RWA_00690,3,3,3
691,311214,EP NYANGE,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,RUSASA,RUMBI,BWANAMO,-1.638694444,29.63477778,ON GRID,USB_MODEM,152,8,140,34eefa12-627e-4f2e-90ab-85c5d5772f2f,3G,G_RWA_00691,3,3,3
692,331210,EP MUBUGA,PUBLIC,"PRE_PRIMARY,PRIMARY",GICUMBI,MIYOVE,MUBUGA,KIVUMU,-1.60025,29.96258333,ON GRID,USB_MODEM,162,6,132,68cba9cd-3fbc-43cd-8ec2-2e19d247a39c,3G,G_RWA_00692,3,3,3
693,521043,EM KIGARAMA,PUBLIC,"PRE_PRIMARY,PRIMARY",GATSIBO,KIZIGURO,NDATEMWA,KIGARAMA,-1.751666667,30.38241667,ON GRID,USB_MODEM,167,9,125,36d26f91-0bb3-4b57-a464-465ea5f9c95d,3G,G_RWA_00693,3,3,3
694,280210,EM HOPE,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,CYABINGO,MURAMBA,GATARE,-1.584444444,29.68347222,ON GRID,USB_MODEM,170,5,245,f5d45f7b-d43c-4341-9e00-221047fa440c,3G,G_RWA_00694,3,3,3
695,281115,EP MURAMBI,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,MINAZI,MURAMBI,NYANZA,-1.763194444,29.78522222,ON GRID,USB_MODEM,174,6,215,8ddf9364-5d1d-4ab3-ade4-285512cddf77,3G,G_RWA_00695,3,3,
696,520101,EP KABIRIZI,PUBLIC,"PRE_PRIMARY,PRIMARY",KARONGI,GASHARI,BIRAMBO,KABIRIZI,-2.150916667,29.50997222,ON GRID,USB_MODEM,174,6,191,5d697484-e0e2-410d-8b9a-6b69e9602151,3G,G_RWA_00696,3,,3
697,110419,EM IDEMBE,PUBLIC,"PRE_PRIMARY,PRIMARY",GASABO,GISOZI,MUSEZERO,KUMUKENKE,-1.929138889,30.06236111,ON GRID,USB_MODEM,174,8,109,3c90037f-4aa8-4cd9-a5db-52983adf4236,3G,G_RWA_00697,3,3,3
698,120518,EP GISEKE,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,MWENDO,KIGARAMA,GITARAGA,-2.127361111,29.68913889,ON GRID,USB_MODEM,180,4,194,91311414-7d56-4c34-981a-ed2dbc9f3d63,3G,G_RWA_00698,3,,
699,421618,EP KAGUNGA,PUBLIC,"PRE_PRIMARY,PRIMARY",NYANZA,NTYAZO,KAGUNGA,KIMIGUNGA,-2.437,29.84936111,ON GRID,USB_MODEM,184,6,122,e6f6a144-f345-44fd-af78-6126868efcac,3G,G_RWA_00699,3,2,3
700,520105,EP KADUHA,PUBLIC,"PRE_PRIMARY,PRIMARY",KARONGI,GASHARI,MUSASA,MUSASA,-2.122027778,29.51744444,ON GRID,USB_MODEM,184,6,125,ee63bf7f-c898-4b6a-b59e-1dcb4ca447b2,3G,G_RWA_00700,3,3,3
701,520952,EM RUGARAMA,PUBLIC,"PRE_PRIMARY,PRIMARY",GATSIBO,GITOKI,KARUBUNGO,RUGARAMA,-1.639444444,30.31886111,ON GRID,USB_MODEM,194,7,195,48a7fbea-002c-48d9-914e-5bf082f83edf,3G,G_RWA_00701,3,1,
702,331021,EM MUBUGA,PUBLIC,"PRE_PRIMARY,PRIMARY",GICUMBI,CYUMBA,GASUNZU,,-1.504166667,30.00666667,ON GRID,USB_MODEM,198,5,102,949272b6-4b50-4f19-998d-f2834607d023,3G,G_RWA_00702,3,3,3
703,210131,EP NEW VISION,PUBLIC,"PRE_PRIMARY,PRIMARY",HUYE,NGOMA,BUTARE,KARUBANDA,-2.597111111,29.73619444,ON GRID,USB_MODEM,199,4,124,e8233387-f3dd-4ac2-8614-b29632f0de07,3G,G_RWA_00703,3,3,3
704,120429,EP KAGEYO,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,BYIMANA,NTENYO,KAGEYO,-2.155361111,29.78819444,ON GRID,USB_MODEM,200,5,164,36208ef8-b38c-4334-ae63-d5532fa9fbde,3G,G_RWA_00704,3,2,3
705,130727,EP MUBUGA,PUBLIC,"PRE_PRIMARY,PRIMARY",HUYE,KIGOMA,NYABISINDU,MUBUGA,-2.433277778,29.65263889,ON GRID,USB_MODEM,203,8,299,21523f6a-2725-470e-8340-b13fa81bab55,3G,G_RWA_00705,3,1,3
706,521045,EM MATABA,PUBLIC,"PRE_PRIMARY,PRIMARY",GATSIBO,KIZIGURO,NDATEMWA,MATABA,-1.73925,30.41669444,ON GRID,USB_MODEM,204,10,115,719db262-4942-4214-a9e5-4d36cf8d9cba,3G,G_RWA_00706,3,2,3
707,110418,EP KARAMA,PUBLIC,"PRE_PRIMARY,PRIMARY",GASABO,BUMBOGO,NYABIKENKE,GIKUMBA,-1.9125,30.14766667,ON GRID,USB_MODEM,207,13,139,fd6b1647-49e5-4f96-8f60-6a4a0f198116,3G,G_RWA_00707,3,3,3
708,370522,EP NYANZA,PUBLIC,"PRE_PRIMARY,PRIMARY",GICUMBI,RWAMIKO,NYAGAHINGA,NTAREMBA,-1.777611111,30.17594444,ON GRID,USB_MODEM,217,10,152,f711ea1e-a3ce-435e-99ec-3e873e1db0c1,3G,G_RWA_00708,3,3,3
709,120307,EP MORNING STAR,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,BWERAMANA,MURAMA,KARAMBO,-2.24325,29.69066667,OFF GRID,USB_MODEM,219,6,176,6c11c6e7-7cd2-49b9-b7aa-f3c805ed8af2,3G,G_RWA_00709,3,3,3
710,271216,EP COKO,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,COKO,NYANZA,KAVUMU,-1.763916667,29.81316667,ON GRID,USB_MODEM,220,5,149,f9e1523e-54ce-40ca-9cb8-d3da354a0b83,3G,G_RWA_00710,3,3,3
711,121128,EM KABUGA,PUBLIC,"PRE_PRIMARY,PRIMARY",RUSIZI,BUTARE,GATERERI,KABUGA,-2.574027778,29.07011111,ON GRID,USB_MODEM,226,3,123,7873397d-450d-4994-a193-19d6f68492be,3G,G_RWA_00711,3,3,3
712,120444,EP KARAMA,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,KINAZI,KINAZI,RUHUHA,-2.179083333,29.92413889,ON GRID,USB_MODEM,230,4,83,9d4cec82-9ac5-433e-8beb-9a513dd46cfb,3G,G_RWA_00712,3,3,3
713,331225,EM GATABA,PUBLIC,"PRE_PRIMARY,PRIMARY",GICUMBI,MUTETE,MUSENYI,GATABA,-1.727666667,30.10816667,ON GRID,USB_MODEM,230,10,137,449d0fa0-3cc1-4179-9b0f-9eac1ba1e074,3G,G_RWA_00713,3,3,3
714,120450,EM KIRWA,PUBLIC,"PRE_PRIMARY,PRIMARY",RUHANGO,KINIHIRA,KIRWA,RUKERI,-2.18925,29.65047222,ON GRID,USB_MODEM,233,8,128,80dd534e-202e-480b-9079-153fad868dd9,3G,G_RWA_00714,3,3,3
715,420602,EP GITOVU,PUBLIC,"PRE_PRIMARY,PRIMARY",BURERA,RUHUNDE,GITOVU,GENDA,-1.585194444,29.915,ON GRID,USB_MODEM,237,20,126,d3360d8f-0bd3-4b67-8322-b2432ca32de5,3G,G_RWA_00715,3,2,
716,330422,EP RWANKUBA,PUBLIC,"PRE_PRIMARY,PRIMARY",GAKENKE,RUSHASHI,RWANKUBA,GIHETA,-1.757777778,29.86758333,ON GRID,USB_MODEM,238,17,189,8295781a-f074-4143-8b41-ab943db05f9f,3G,G_RWA_00716,2,,
