tile_bigint,clean_lat,clean_lon,school_id,sn,source_school_id,school_name,school_category,school_settings,district,sector,cell,village,electricity_availability,internet_availability,connectivity_type,number_of_students,number_of_teachers,computers,uuid,giga_school_id,latitude,longitude,percent_2g,percent_3g,percent_4g
2.61444E+15,-2.59019,28.988,2757,2757,360801,GITAMBI ST JOSEPH,GOVERNMENT_AIDED,PRIMARY,RUSIZI,GITAMBI,MASHESHA,RUVURUGA,OFF GRID,NONE,None,334,20,,aac4180f-9c06-4f8e-8e7d-dedd07a4d9b3,G_RWA_02757,-2.59019,28.988,28.57,60,11.43
2.63166E+15,-1.1945555,30.3645277,2764,2764,521203,GASINGA PS,PUBLIC,PRIMARY,NYAGATARE,RWEMPASHA,GASINGA,GASINGA,ON GRID,NONE,None,341,19,,d185b825-c975-4139-a820-dc34a1695912,G_RWA_02764,-1.1945555,30.3645277,33.33,59.65,7.02
2.62351E+15,-1.38861,29.71303,3113,3113,440311,MUGARAMA,GOVERNMENT_AIDED,PRIMARY,BURERA,CYANIKA,KABYINIRO,MUGARAMA,OFF GRID,NONE,None,583,20,,77b74aa2-43e9-4837-9aaf-7dc785d89660,G_RWA_03113,-1.38861,29.71303,32.56,46.51,20.93
2.62598E+15,-2.35328,29.91039,3458,3458,210404,MATARA,PUBLIC,PRIMARY,NYANZA,KIBILIZI,CYERU,MATARA,ON GRID,USB_MODEM,3G,235,16,,2d17b9be-2674-4c0f-9ed7-6eacbefe3d1f,G_RWA_03458,-2.35328,29.91039,37.11,51.57,11.32
2.62988E+15,-1.977,30.22256,3505,3505,121407,KABUGA PRESBYTERIAN SCHOOL (KPS),PRIVATE,PRIMARY,GASABO,RUSORORO,NYAGAHINGA,URUMURI,ON GRID,USB_MODEM,3G,532,10,,55cd7281-0ebd-454e-9fcb-46c716a3fac0,G_RWA_03505,-1.977,30.22256,25.15,67.22,7.64
2.63015E+15,-1.52061,30.24386,3982,3982,531009,Vtc Benebikira Ngarama,PRIVATE,TVET,GATSIBO,NGARAMA,BUGAMBA,KINYINYA,ON GRID,FOUR_G,4G,355,10,,d3ec4970-0b56-4162-bdd0-2b9e392c7686,G_RWA_03982,-1.52061,30.24386,37.4,56.91,5.69
2.625E+15,-1.419805556,29.83211111,4000,4000,440203,C G BUTARO,PRIVATE,TVET,BURERA,BUTARO,RUSUMO,KABAYA,ON GRID,FOUR_G,4G,1017,22,,317a92c2-ea30-4c46-83d3-f3441f492264,G_RWA_04000,-1.419805556,29.83211111,35.94,54.69,9.38
2.62553E+15,-2.661444444,29.87441667,37,37,350910,GS CYUMBA,PUBLIC,12 YBE,GISAGARA,MUGANZA,CYUMBA,RWIMISAMBI,ON GRID,USB_MODEM,3G,355,20,274,f28c0e71-4b57-4758-b808-166d6b0a0d8d,G_RWA_00037,-2.661444444,29.87441667,40.48,47.62,11.9
2.6236E+15,-2.623083333,29.71988889,146,146,241406,MUSANGE,GOVERNMENT_AIDED,12YBE,HUYE,TUMBA,MPARE,MUSANGE,ON GRID,FOUR_G,4G,2397,43,242,df125516-8c1b-42b0-8270-6dcdfb912d45,G_RWA_00146,-2.623083333,29.71988889,32.45,58.94,8.61
2.61362E+15,-2.52394,28.92239,292,292,361109,GS NYAKANYINYA,GOVERNMENT_AIDED,12YBE,RUSIZI,MURURU,MIKO,RUHIMBI,ON GRID,NONE,None,1319,31,255,64c2fddb-f513-4992-a795-1a49ed9a8b10,G_RWA_00292,-2.52394,28.92239,34.65,56.44,8.91
