tile_bigint,clean_lat,clean_lon,uuid,country,source,giga_school_id,source_school_id,name,education_level,lat,lon,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,connectivity_availability,num_students,num_teachers,num_computers,computer_lab,percent_2g,percent_3g,percent_4g
2.11E+15,7.879004,-11.18804,0617c60e-9e83-3660-b5b5-56e8b90a1ea0,Sierra Leone,government,G_SL_001492,129101244,"""SIERRA LEONE CHURCH PRIMARY SCHOOL A.M  (MISSION ROAD SECTION, KENEMA TOWN (7.878958 ; -11.18798)""",Primary,7.879004,-11.18804,8875b0560dfffff,1,2020,17:40.1,No,No,No,737,19,,No,11.54,73.85,14.62
2.11E+15,7.880529,-11.19195,25761079-932e-3b77-a94c-f3dbe872e681,Sierra Leone,government,G_SL_001507,129102242,"""THE DOOR INTERNATIONAL ACADEMY KENGEH STREET  (GBO LAMBAYAMA SECTION, KENGEH STREET TOWN (7.880672 ; -11.19209)""",Primary,7.880529,-11.19195,8875b05663fffff,1,2020,17:40.1,No,Yes,No,272,8,,No,11.54,73.85,14.62
2.11E+15,7.956426,-11.02954,f596f2bc-217e-30ef-b7ab-72459f95de2e,Sierra Leone,government,G_SL_001700,129103320,"""CHRIST CENTERED PRIMARY SCHOOL  (KONA FOIYA SECTION, SENEDEMA TOWN (7.956474 ; -11.02959)""",Primary,7.956426,-11.02954,8875b0c4a3fffff,1,2020,17:40.1,No,No,No,153,5,,No,11.72,73.44,14.84
2.12E+15,8.431894,-10.86699,28f29d54-ce17-3e33-8be8-c3616008c04a,Sierra Leone,government,G_SL_001945,130201101,"""ROMAN CATHOLIC PRE-SCHOOL  (MONGOR SECTION, GANDORHUN TOWN (8.431952 ; -10.86707)""",Primary,8.431894,-10.86699,8875b47523fffff,0.67,2020,17:40.1,No,Yes,No,173,2,,No,10.94,74.22,14.84
2.11E+15,8.64614,-11.27105,d30950c2-a669-3629-a9c9-3825ce56f84f,Sierra Leone,government,G_SL_002351,131001208,"""SIERRA LEONE MUSLIM YOUTH CULTURAL ORGANIZATION  (TAAMA FOREST SECTION SECTION, SANDIYA TOWN (8.646255 ; -11.27106)""",Primary,8.64614,-11.27105,8875b4482dfffff,1,2020,17:40.1,No,No,No,147,4,,No,11.81,74.02,14.17
2.11E+15,8.812938,-11.02499,b5e7b0c6-79ff-3068-8dcf-32bf15c5c0c0,Sierra Leone,government,G_SL_002454,131105203,"""UNITED METHODIST CHURCH PRIMARY SCHOOL BOSAYAH  (NJEIKOR SECTION, BOSAYA TOWN (8.812898 ; -11.02506)""",Primary,8.812938,-11.02499,8875b452bdfffff,1,2020,17:40.1,No,No,No,110,1,,No,11.72,73.44,14.84
2.11E+15,8.638189,-10.95216,44eda6d0-d474-3c5b-ab6a-3926b5807b9c,Sierra Leone,government,G_SL_002613,139103353,"""NEW GENERATION JUNIOR SECONDARY SCHOOL  (TANKORO SECTION, SUKUDU NEW SITE TOWN (8.638165 ; -10.95226)""",Secondary,8.638189,-10.95216,8875b44613fffff,1,2020,17:40.1,No,No,No,187,5,,No,11.9,73.81,14.29
2.11E+15,8.64391,-10.97868,9349f9b2-fa54-3c8a-93e5-892f100ef3ae,Sierra Leone,government,G_SL_002659,139103120,"""UNIVERSE PRE SCHOOL  (MOINDEFEH SECTION, KOIDU CITY TOWN (8.643831 ; -10.97856)""",Primary,8.64391,-10.97868,8875b4463dfffff,0.67,2020,17:40.1,No,No,No,126,6,,No,11.9,73.81,14.29
2.09E+15,9.103267,-12.94954,d0451427-16ee-3cc6-ac4c-331ef9998809,Sierra Leone,government,G_SL_002720,220202301,"""TAWUYA ACADEMY JUNIOR SECONDARY SCHOOL  (TAWUYA SECTION, TAWUYA TOWN (9.103262 ; -12.94941)""",Secondary,9.103267,-12.94954,8854ea25c5fffff,1,2020,17:40.1,No,No,No,113,7,,No,11.02,74.02,14.96
2.09E+15,9.406738,-12.65258,b95c2275-72ef-3858-ac27-551c6fa7efd8,Sierra Leone,government,G_SL_002723,220103213,"""COMMUNITY PRIMARY SCHOOL KABAYA  (KABAYA SECTION, KABAYA TOWN (9.406878 ; -12.65258)""",Primary,9.406738,-12.65258,8854ebd32dfffff,1,2020,17:40.1,No,No,No,156,4,,No,11.2,74.4,14.4
