,uuid,country,source,giga_school_id,source_school_id,school_name,education_level,latitude,longitude,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,internet_availability,number_of_students,number_of_teachers,computers,connectivity_type,coverage,coverage_type,2G_coverage,3G_coverage,4G_coverage
21,4a83996e-b945-4319-b547-ad7eab7694da,Rwanda,government,G_RWA_00047,130210.0,GS NYARUSANGE,Secondary,-1.933583333,30.45311111,886ad8a163fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,455,20,281.0,3G,YES,4G,YES,YES,YES
22,163506c0-82e1-4bbe-afe5-b77c4f769a18,Rwanda,government,G_RWA_00048,121505.0,GS KABARE,Secondary,-1.887972222,30.45138889,886ad8a32bfffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,460,20,233.0,3G,YES,4G,YES,YES,YES
23,942bb2ef-bd16-46f9-9c93-f3b19d7dfa3a,Rwanda,government,G_RWA_00049,571039.0,GS KIYONZA,Secondary,-2.7425,29.69777778,886ada84a3fffff,0.61,2020,00:52.6,No,ON GRID,USB_MODEM,484,13,382.0,3G,YES,4G,YES,YES,YES
24,b5eaf241-a626-443d-8aab-e3f929604b8e,Rwanda,government,G_RWA_00051,,GS KATARARA,Secondary,-2.118361111,30.20880556,886ad8028dfffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,487,6,255.0,3G,YES,4G,YES,YES,YES
25,914c97d8-1366-4a58-8e1c-3c2b923df67a,Rwanda,government,G_RWA_00052,520317.0,GS RUTONDE,Secondary,-2.34625,30.1025,886ad809d7fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,500,10,279.0,3G,YES,4G,YES,YES,YES
26,91a7f3d8-d77a-45c7-be77-00c414bea062,Rwanda,government,G_RWA_00053,571032.0,GS MUNINI,Secondary,-2.713694444,29.53930556,886ada8081fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,531,17,234.0,3G,YES,4G,YES,YES,YES
27,a42d2800-13aa-4529-845d-13e11a99472b,Rwanda,government,G_RWA_00054,571030.0,GS SEKERA,Secondary,-2.664305556,29.46205556,886ada804dfffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,547,10,239.0,3G,YES,4G,YES,YES,YES
28,5f322f84-fcb0-40bd-b0f3-c64cd9b3731e,Rwanda,government,G_RWA_00055,110205.0,GS KARAMA,Secondary,-1.959888889,30.01355556,886ad889a7fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,573,10,261.0,3G,YES,4G,YES,YES,YES
29,030df3ff-4a36-43a0-943a-12d2eaa8044b,Rwanda,government,G_RWA_00058,430814.0,GS VUMBI,Secondary,-1.867416667,29.30213889,886adea147fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,598,10,235.0,3G,YES,4G,YES,YES,YES
30,cc264ec8-dcfa-41dc-a7d0-ed1cc1de73dd,Rwanda,government,G_RWA_00061,440504.0,GS GAKORO,Secondary,-1.627722222,29.63277778,886adc612dfffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,621,8,385.0,3G,YES,4G,YES,YES,YES
31,0212a147-35ff-44ae-b2d2-23ff7176d18e,Rwanda,government,G_RWA_00066,280114.0,GS MURAMBA,Secondary,-1.584444444,29.6835,886adc6067fffff,0.62,2020,00:52.6,No,ON GRID,USB_MODEM,1032,26,390.0,3G,YES,4G,YES,YES,YES
32,5000af74-5810-4d56-8bc5-f8deb388503a,Rwanda,government,G_RWA_00068,530220.0,GS KABARE II,Secondary,-1.4395,30.1425,886adc2c53fffff,0.57,2020,00:52.6,No,ON GRID,USB_MODEM,1050,30,255.0,3G,YES,3G,YES,YES,NO
33,42e80893-9627-4e01-acc2-ad5b4e830979,Rwanda,government,G_RWA_00070,520905.0,GS NYARUBUYE,Secondary,-2.057444444,29.42708333,886adeada9fffff,0.67,2020,00:52.6,No,ON GRID,USB_MODEM,1239,20,791.0,3G,YES,4G,YES,YES,YES
34,2006fe12-0f17-4fdf-a441-1f8347404fef,Rwanda,government,G_RWA_00072,560906.0,GS NYAMUGARI,Secondary,-2.108916667,30.55163889,886ad8ad37fffff,1.0,2020,00:52.6,No,ON GRID,FIBER OPTIC,1611,41,269.0,fibre,YES,4G,YES,YES,YES
35,17af0280-1149-481a-ad14-7d41fa1bd909,Rwanda,government,G_RWA_00075,430310.0,GS GAKORO,Secondary,-1.48817,29.704,886adc6259fffff,0.58,2020,00:52.6,No,ON GRID,FOUR_G,314,21,246.0,4G,YES,4G,YES,YES,YES
36,6980f304-b070-4c9c-85eb-7cb2c28184ae,Rwanda,government,G_RWA_00076,110314.0,GS KARAMA,Secondary,-1.95989,30.01356,886ad889a7fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,341,16,554.0,4G,YES,4G,YES,YES,YES
37,8b61d879-f3e1-436a-8252-bcbddd083cee,Rwanda,government,G_RWA_00080,550707.0,GS NYAWERA,Secondary,-2.087,30.88944,886ad9c157fffff,0.56,2020,00:52.6,No,ON GRID,FOUR_G,503,16,246.0,4G,YES,4G,YES,NO,NO
38,4bd19ca5-1636-4b32-8718-1005ed7d4712,Rwanda,government,G_RWA_00085,550902.0,GS KARAMBI,Secondary,-2.17789,30.66397,886ad83409fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,933,20,225.0,4G,YES,4G,YES,YES,YES
39,1ccd2add-1fba-4311-9c7c-adf01e3e822a,Rwanda,government,G_RWA_00087,230904.0,GS KIBANGU,Secondary,-2.73697,29.65547,886ada85ddfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1030,17,224.0,4G,YES,4G,YES,NO,YES
40,48aaa8c9-c246-470e-b9e9-010506326f2b,Rwanda,government,G_RWA_00089,241402.0,CYARWA,Secondary,-2.629861111,29.75616667,886ad84983fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1056,28,435.0,4G,YES,4G,YES,YES,YES
41,6119fddc-ce17-4555-a811-ad07250c4f43,Rwanda,government,G_RWA_00095,531401.0,GS MUNINI,Secondary,-1.60192,30.51772,886add4c47fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1261,28,155.0,4G,YES,4G,YES,YES,NO
42,0d8df4d0-fae8-4637-b061-2142f8b0c31e,Rwanda,government,G_RWA_00097,452002.0,GS RWAMIKO,Secondary,-1.75842,30.18558,886ad8809dfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1319,24,253.0,4G,YES,4G,YES,YES,YES
43,7e97b052-99fb-44c0-98fd-5bf872c5e582,Rwanda,government,G_RWA_00098,270824.0,GS NYABISINDU,Secondary,-2.06964,29.75481,886ad8c1e7fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1377,28,225.0,4G,YES,4G,YES,YES,YES
44,1281c839-a765-4faf-abc0-e642dd6ff27a,Rwanda,government,G_RWA_00099,510602.0,GS KABARE,Secondary,-1.88797,30.4513,886ad8a32bfffff,0.62,2020,00:52.6,No,ON GRID,FOUR_G,1390,34,242.0,4G,YES,4G,YES,YES,YES
45,39217bc3-eb0b-4c57-9b03-8b16747aff2d,Rwanda,government,G_RWA_00101,371011.0,GS MURAMBA,Secondary,-2.28556,29.17447,886ade396dfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1453,31,422.0,4G,YES,4G,YES,YES,YES
46,4e0c346d-dd6a-4692-a6c2-e1e6cd15843f,Rwanda,government,G_RWA_00104,430801.0,KABAYA,Secondary,-1.52,29.63275,886adc6349fffff,0.5,2020,00:52.6,No,ON GRID,FOUR_G,1551,47,205.0,4G,YES,4G,YES,YES,YES
47,9348cc41-ca40-46fb-ac7b-d76487856aae,Rwanda,government,G_RWA_00107,370409.0,GS KIBINGO,Secondary,-2.19753,29.26072,886ade3a15fffff,0.67,2020,00:52.6,No,OFF GRID,FOUR_G,1591,33,173.0,4G,YES,4G,YES,YES,YES
48,6e0fc426-696f-4694-91f0-9915831fb007,Rwanda,government,G_RWA_00108,270606.0,GS NYABITARE,Secondary,-2.02583,29.64808,886ad8d8abfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1597,42,305.0,4G,YES,4G,YES,YES,YES
49,2b73f9ec-8927-4594-ae6d-8bffab0e8edc,Rwanda,government,G_RWA_00114,230806.0,GS MURAMA,Secondary,-2.71917,29.70997,886ada848bfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1815,41,298.0,4G,YES,4G,YES,YES,YES
50,15a04871-fa10-4202-81ed-b5a6b60240b5,Rwanda,government,G_RWA_00117,571501.0,Gihinga,Secondary,-2.271666667,30.00694444,886ad80b6bfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1874,34,175.0,4G,YES,4G,YES,YES,YES
51,c41ef1dc-f241-4d35-874e-7133ea52840d,Rwanda,government,G_RWA_00118,431303.0,GS REMERA,Secondary,-1.53819,29.72103,886adc62e5fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,1874,50,230.0,4G,YES,4G,YES,YES,YES
52,a7650542-2d4a-44dd-9cbb-a2411d3e54e2,Rwanda,government,G_RWA_00123,570108.0,Mwendo,Secondary,-2.248833333,30.24877778,886ad80e03fffff,0.67,2020,00:52.6,No,OFF GRID,FOUR_G,1923,41,331.0,4G,YES,4G,YES,YES,YES
53,8857dfa5-8b27-4b30-953d-a4dd866883e1,Rwanda,government,G_RWA_00132,370410.0,GS NYAKANYINYA,Secondary,-2.19683,29.23906,886ade3a05fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2087,38,376.0,4G,YES,4G,YES,YES,YES
54,f3a7d7fc-e074-49eb-a714-c95054c7622a,Rwanda,government,G_RWA_00134,570804.0,Rutonde,Secondary,-2.34625,30.1025,886ad809d7fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2113,43,226.0,4G,YES,4G,YES,YES,YES
55,4d798d8c-f835-447a-ad06-3107b9c58279,Rwanda,government,G_RWA_00142,430404.0,GS NTARAMA,Secondary,-1.57544,29.74597,886adc60c1fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2299,48,268.0,4G,YES,4G,YES,YES,YES
56,ea74f630-b049-4d0f-8fe8-59a4db42bf18,Rwanda,government,G_RWA_00143,441506.0,GS GASEKE,Secondary,-1.56681,29.89178,886adc6453fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2362,43,280.0,4G,YES,4G,YES,YES,YES
57,d0efcc9f-048b-41a7-900e-aaa6f4d9bc8a,Rwanda,government,G_RWA_00151,240203.0,GS SOVU,Secondary,-2.55556,29.70481,886ad8486dfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2541,51,367.0,4G,YES,4G,YES,YES,YES
58,1cd38442-ee88-4158-9bf7-d85fe6173b25,Rwanda,government,G_RWA_00152,451103.0,GS MUKO,Secondary,-1.69781,30.22939,886ad88751fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2595,42,252.0,4G,YES,4G,YES,YES,YES
59,45051468-95ac-45e3-b3dc-ea00a603067e,Rwanda,government,G_RWA_00153,430903.0,GS MUKO,Secondary,-1.55411,29.62317,886adc6361fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2665,54,245.0,4G,YES,4G,YES,YES,YES
60,2f8394dd-c4e6-4999-abe8-dfa33276caa0,Rwanda,government,G_RWA_00155,110805.0,GS CYIVUGIZA,Secondary,-1.98222,30.04803,886ad81357fffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2757,34,237.0,4G,YES,4G,YES,YES,YES
61,d015c113-3fef-4ac9-a8e8-d4aef403492a,Rwanda,government,G_RWA_00157,230905.0,GS KIYONZA,Secondary,-2.7425,29.69778,886ada84a3fffff,0.61,2020,00:52.6,No,ON GRID,FOUR_G,2769,49,424.0,4G,YES,4G,YES,YES,YES
62,73a43fa5-0542-462d-adca-b93f8b4c633e,Rwanda,government,G_RWA_00158,230505.0,GS MATA,Secondary,-2.56867,29.56333,886ada942bfffff,0.67,2020,00:52.6,No,ON GRID,FOUR_G,2806,34,229.0,4G,YES,4G,YES,YES,YES
