uuid,country,source,school_id,giga_school_id,name,education_level,lat,lon,hex8,dq_score,source_timestamp,master_timestamp,school_archive,electricity_availability,connectivity,student_count,teacher_count,computer_count,computer_lab,fiber_node_distance,nearest_school_distance,Schools_within_1km,Schools_within_3km,Schools_within_10km,nearest_celltower_id,nearest_celltower_distance,2G,3G,4G,pop_within_1km,pop_within_3km,pop_within_7km
dc006349-d622-3d39-bc35-265280c06c12,Sierra Leone,government,310802303,G_SL_006739,"CENTENARY U.M JUNIOR SECONDARY SCHOOL  (NEW GERIHUN ROAD SECTION, NEW GERIHUN  ROAD TOWN (7.95344 ; -11.72045)",Secondary,7.953501,-11.72031,8875b29341fffff,1,2020,44390.5956,No,Yes,No,899,29,,No,59.62972155,0.022052257,361,538,845,428,0.156301544,1,1,1,251097,367157,497117
c48d9d5e-adb9-3589-888c-1c0c8d102504,Sierra Leone,government,319103402,G_SL_006740,"CENTENARY UNITED METHODIST SENIOR SECONDARY SCHOOL  (NEW GERIHUN ROAD SECTION, NEW GERIHUN  ROAD TOWN (7.953003 ; -11.72071)",Secondary,7.953499,-11.72051,8875b29341fffff,1,2020,44390.5956,No,Yes,No,1501,38,,No,59.65152047,0.022052257,364,538,844,428,0.134282479,1,1,1,252125,367165,496998
757dc48d-e96d-3d6a-b7fc-4dc8ed9f26d1,Sierra Leone,government,310803207,G_SL_006741,"CHRIST  HARVESTERS  PRIMARY  SCHOOL  (KORJEH SECTION SECTION, KALIA TOWN (7.923122 ; -11.60882)",Primary,7.923099,-11.60879,8875b62d17fffff,1,2020,44390.5956,No,Yes,No,230,5,,No,47.00859131,1.801973607,3,44,875,490,5.129932099,1,0,1,4902,43437,538191
94e2f72b-8d33-3b60-ac13-58c38793596c,Sierra Leone,government,319103121,G_SL_006742,"CHRIST EVANGELICAL COMMUNITY PREPARATORY SCHOOL  (NEW YORK SECTION, NEW YORK TOWN (7.967167 ; -11.76337)",Primary,7.967022,-11.76359,8875b666abfffff,0.67,2020,44390.5956,No,No,No,80,3,,No,64.56988454,0.003563888,197,535,842,439,0.381684387,1,1,1,144036,366009,477596
fef51de6-e5fe-366e-aaf1-802cc9d951f3,Sierra Leone,government,310803217,G_SL_006743,"CHRIST HARVESTERS PRIMARY SCHOOL  (SEWA SECTION SECTION, DANDABU TOWN (7.942321 ; -11.68544)",Primary,7.942546,-11.68544,8875b29263fffff,1,2020,44390.5956,No,No,No,292,8,,No,55.65630671,0.310994272,32,539,853,490,3.725148833,1,1,1,19761,365476,516945
45201798-a109-3581-91b4-a554666c1ec8,Sierra Leone,government,310802208,G_SL_006744,"CHRIST IS THE ANSWER MISSION C.A.M. PRIMARY SCHOOL  (NGUABU SECTION, GAMBIA TOWN (8.041533 ; -11.75673)",Primary,8.041612,-11.75679,8875b674b5fffff,1,2020,44390.5956,No,No,No,248,7,,No,65.17569871,1.785522723,3,317,816,445,7.31324166,1,1,1,969,193836,455705
8593c405-bb72-31b9-94d2-43cc6fa2cf7b,Sierra Leone,government,310803208,G_SL_006745,"CHRIST IS THE ANSWER MISSION PRIMARY  SCHOOL  (NWAYA CHIEFDOM SECTION, KIGBAI TOWN (7.995027 ; -11.55955)",Primary,7.994885,-11.55946,8875b62f59fffff,1,2020,44390.5956,No,No,No,304,7,,No,43.29763441,1.466546311,2,40,895,456,7.826032384,1,0,0,1566,42923,528398
0d139d0f-5e31-3ebd-9267-d0c4be683eb1,Sierra Leone,government,310803203,G_SL_006746,"CHRIST IS THE ANSWER PRIMARY  (NYALLAY SECTION SECTION, BEVEHUN TOWN (7.936788 ; -11.61564)",Primary,7.937216,-11.61695,8875b62d01fffff,1,2020,44390.5956,No,No,No,153,7,,No,48.09361077,1.801973607,5,45,877,490,3.853619476,1,0,0,2014,41747,537833
3fb595ac-768e-3069-b785-5fad0be475ef,Sierra Leone,government,310803206,G_SL_006747,"COMMUNITY  PRIMARY  SCHOOL  (NWAYA SECTION SECTION, GBUMBEH TOWN (7.986703 ; -11.56993)",Primary,7.986782,-11.56999,8875b62f57fffff,1,2020,44390.5956,No,No,No,127,4,,No,44.15176904,1.466546311,3,40,889,456,7.177382654,1,0,0,1521,39886,539550
c8417fd8-ed1d-3bc5-86cb-389f45d1b249,Sierra Leone,government,999999988,G_SL_006748,"COMMUNITY  PRIMARY SCHOOL  (UPPER PEMBA SECTION, KPANGUMA TOWN (7.525393 ; -11.79776)",Primary,7.990773,-11.73564,8875b666ddfffff,1,2020,44390.5956,No,No,No,115,5,,No,62.0042422,0.133907061,168,537,837,445,1.426118736,1,1,1,105030,364777,481681
