SCHOOL_CODE,SCHOOL_NAME,school_region,LATITUDE,LONGITUDE,connectivity,uuid,Coverage,Coverage_type,2G_coverage,3G_coverage,4G_coverage,5G_coverage,2G_coverage_distance,3G_coverage_distance,4G_coverage_distance,5G_coverage_distance,2G_Best_Coverage_provider,3G_Best_Coverage_provider,4G_Best_Coverage_provider,5G_Best_Coverage_provider,2G_coverage_present,3G_coverage_present,4G_coverage_present,5G_coverage_present,Distance_to_nearest_tower,Data_Source
G_CRI_000156,ANDRES BELLO LOPEZ,Urban,9.93250037,-84.18238192,YES,34dd1677-7d63-3ae5-9e1a-c37fe57e8fad,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000167,JOSE RAFAEL ARAYA ROJAS,Urban,9.96303155,-84.06392356,YES,c21f07ed-b4a7-3668-9f04-595b11b595de,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000195,PORFIRIO BRENES CASTRO,Urban,9.96095989,-84.04930315,YES,75b19eb6-8357-39d0-b434-8f491d666fbf,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000208,J.N. REPUBLICA POPULAR CHINA,Urban,9.90376359,-84.09912117,YES,614a374f-6b09-3564-80c7-976daffa5507,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000229,JOSE ANA MARIN CUBERO,Urban,9.97886548,-84.00839778,YES,35abc338-d723-37eb-90d6-aeb05956091c,YES,4G,Fair,Good,Good,None,0-5km,0-5km,0-5km,None,Claro,movistar,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000235,J.N. NAPOLEON QUESADA,Urban,9.92226922,-84.05495212,NO,ac57f3fe-3033-3198-ae0c-99096a0d7b22,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000287,LAGUNILLAS,Rural,9.81574557,-84.19732554,YES,6a16a631-5ff8-34da-bb27-798b963b1bdf,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000304,LA URUCA,Rural,9.76291193,-84.13359244,YES,b05c2513-1240-3c00-bec6-20a051b7397c,YES,4G,Fair,Good,Good,None,0-5km,0-5km,0-5km,None,Claro,Claro,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000327,J.N. REPUBLICA DE HAITI,Urban,9.90713421,-84.08453005,YES,f78d4a01-0eb1-3ae7-bfc7-c410cc2be636,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000330,MARIA GARCIA ARAYA,Rural,9.79683002,-84.12083086,YES,c1c900db-186f-38b3-a612-0cea13e9ce71,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000353,CENTRAL SAN SEBASTIAN,Urban,9.90554206,-84.08929834,YES,3c13f099-b7ac-33f1-9e68-40514c8fd5f2,YES,4G,Good,Good,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000372,LAS VEGAS,Rural,9.6558131,-84.26358615,YES,ed26e7eb-74d7-3bb7-931b-e3435167eaa3,YES,4G,Excellent,Good,Fair,None,0-5km,0-5km,0-5km,None,movistar,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000474,ANICETO JIMENEZ BARBOZA,Rural,9.76623976,-84.39954092,YES,19bb9a2e-c6f3-30cd-8956-35952c9d1fff,YES,4G,Good,Good,Fair,None,0-5km,0-5km,0-5km,None,movistar,Claro,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000541,ESCALERAS,Rural,9.23077679,-83.81877561,NO,5295fcb4-a400-374f-a96c-ad0e574c1edd,YES,4G,Fair,Fair,Poor,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,Claro,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000589,LA HORTENSIA,Rural,9.46306393,-83.70184608,NO,b0540a60-9413-3ea3-be64-950c329c8e65,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,movistar,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000592,CURRE,Rural,8.98154349,-83.26660431,YES,f9755e6d-e5ed-3c02-b11a-00b0f33ab520,YES,4G,Good,Fair,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000595,BIJAGUAL,Rural,9.06180205,-83.35415072,YES,cbd6a64c-bdfa-3812-a610-77bebe7db0a1,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000605,EL AGUILA,Rural,9.12149518,-83.52571047,YES,7b21aac6-793f-3f09-9761-e0708fd767cd,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000612,EL CEIBO,Urban,9.25179656,-83.70755222,YES,583cbb9a-187b-3654-a1fc-11ea1ea042ae,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,movistar,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000642,HUACABATA,Rural,9.1242852,-83.14369035,YES,b52625ad-5c4d-309d-9ebc-26266cb019c6,YES,4G,Fair,Fair,Good,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000721,RODRIGO FACIO BRENES,Urban,9.39599035,-83.68056326,YES,83a461f9-2c8b-39bc-a912-f81d24fd6d59,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,movistar,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000782,VALLE DE LA CRUZ,Rural,9.15846192,-83.5738505,YES,bfd83876-68c8-3c08-ad5b-e44b98fb81dc,YES,4G,Fair,Good,Fair,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,Kolbi ICE,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000830,EL CACIQUE,Rural,8.88358168,-83.19757764,YES,523d6c75-c7d9-3b83-9c85-8b3a9724b4de,YES,4G,Good,Fair,Good,None,0-5km,0-5km,0-5km,None,Claro,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_000849,RAFAEL ANGEL CALDERON GUARDIA,Urban,10.01931655,-84.34086269,YES,580a189d-94de-316b-81ab-d70f98b54469,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
G_CRI_001070,LA PALMA,Rural,10.11474126,-84.51680409,YES,f4b77f3c-e774-3b86-bb66-2e98fcb9c194,YES,4G,Fair,Fair,Fair,None,0-5km,0-5km,0-5km,None,Kolbi ICE,Kolbi ICE,movistar,None,YES,YES,YES,No,-1,Ericsson
